"user_id","region","first_order_ts","total_orders","num_canceled_orders","total_order_costs","avg_order_rating","num_orders_with_rating","used_money_transfer","lifetime_days"
"8d50f5eadf50201ccdcedfb9e2ac8455",Москва,2023-06-18 22:56:48.000,15,0,18672.00,5.0000000000000000,13,0,428.8455787037037037
"3e43e6105506432c953e165fb2acf44c",Москва,2023-09-18 18:53:15.000,9,0,25346.00,2.75000000000000000000,8,0,161.9884722222222222
"6469f99c1f9dfae7733b25662e7f1782",Москва,2023-09-19 01:02:44.000,7,0,15880.00,5.0000000000000000,5,0,282.9866898148148148
"1b6c7548a2a1f9037c1fd3ddfed95f33",Новосибирская область,2023-11-13 16:44:41.000,7,0,21216.00,5.0000000000000000,6,1,92.8593865740740741
"63cfc61cee11cbe306bff5857d00bfe4",Санкт-Петербург,2023-05-11 14:39:53.000,6,0,15850.00,4.5000000000000000,6,0,383.1112152777777778
"47c1a3033b8b77b3ab6e109eb4d5fdf3",Москва,2023-08-07 14:14:22.000,6,0,18643.00,4.7500000000000000,4,1,170.0424074074074074
"56c8638e7c058b98aae6d74d2dd6ea23",Новосибирская область,2023-07-12 06:48:11.000,5,0,18714.00,5.0000000000000000,4,0,282.5044097222222222
"4e65032f1f574189fb793bac5a867bbc",Москва,2023-03-26 18:39:34.000,5,0,9587.00,5.0000000000000000,5,0,445.6175347222222222
"394ac4de8f3acb14253c177f0e15bc58",Москва,2023-12-22 19:23:43.000,5,0,16835.00,5.0000000000000000,4,0,236.9428240740740741
de34b16117594161a6a89c50b289d35a,Москва,2023-11-03 00:16:32.000,5,0,11020.00,3.4000000000000000,5,0,75.9707060185185185
fe81bb32c243a86b2f86fbf053fe6140,Москва,2023-10-22 11:29:22.000,5,0,37983.00,5.0000000000000000,2,1,243.0285069444444444
"74cb1ad7e6d5674325c1f99b5ea30d82",Москва,2023-08-28 20:24:52.000,5,0,9435.00,5.0000000000000000,4,0,218.2024305555555556
a73c5464692d3bc09d64e3edefae9015,Москва,2023-08-03 17:18:23.000,4,0,7090.00,5.0000000000000000,3,0,318.0112037037037037
a1874c5550d2f0bc14cc122164603713,Санкт-Петербург,2023-06-30 13:40:46.000,4,0,17359.00,4.0000000000000000,3,0,328.0898032407407407
a7657330b1c135f3acd420326e335b2c,Новосибирская область,2023-05-18 20:51:06.000,4,0,13135.00,4.5000000000000000,4,0,172.8832754629629630
"9cc5a07f169a1606fd347a56683e6ea6",Санкт-Петербург,2023-12-13 21:34:30.000,4,0,9684.00,5.0000000000000000,3,1,252.1688425925925926
b896655e2083a1d76b7b85df8fc86e40,Москва,2023-09-25 11:22:41.000,4,0,11250.00,5.0000000000000000,2,1,284.9744212962962963
d3359a56d96666ac0c21bb01e7a61c95,Москва,2023-08-24 22:39:14.000,4,0,8990.00,5.0000000000000000,3,0,209.8477083333333333
b39dde6dd619943190a8cc9aa6db38a4,Москва,2023-03-23 12:21:53.000,4,0,14265.00,5.0000000000000000,3,0,334.0029861111111111
"2ddc001b620bd90d0f4378cfde1db887",Москва,2023-09-30 07:44:48.000,4,0,10950.00,5.0000000000000000,4,1,187.3008217592592593
ec7f1811826ab04a27a92197bc40c888,Санкт-Петербург,2023-11-02 15:17:45.000,4,0,12570.00,5.0000000000000000,3,0,46.5825000000000000
f64ec6d8dd29940264cd0bbb5ecade8a,Санкт-Петербург,2023-10-07 06:49:55.000,4,0,7700.00,5.0000000000000000,3,0,45.4782986111111111
f4d1502ace38b0df6f052a5544add9f4,Санкт-Петербург,2023-11-10 22:50:03.000,3,0,9120.00,5.0000000000000000,3,0,153.0169328703703704
fc719c11b4dce594f47e1f9aa739a3a2,Москва,2023-11-16 17:08:42.000,3,0,6060.00,5.0000000000000000,2,0,40.2007407407407407
e4b98eebb8983cade8610c0def59f705,Санкт-Петербург,2023-03-25 09:08:40.000,3,0,14714.00,1.66666666666666666667,3,1,38.3106712962962963
e30b83af13d6ff0b0f427b2a67c43b39,Новосибирская область,2023-01-19 14:38:27.000,3,0,16675.00,4.6666666666666667,3,0,312.8375925925925926
e3301490c373db9263c15a73172d0c6f,Москва,2023-03-29 16:12:13.000,3,0,7950.00,4.2500000000000000,2,0,21.8225347222222222
e325e139452a1ca05f5a33acedd7d94f,Москва,2023-11-27 11:33:51.000,3,0,6735.00,5.0000000000000000,1,0,37.9459722222222222
e78838df9c44e102b6ac84cc5eea7d5c,Новосибирская область,2023-02-07 22:52:43.000,3,0,3610.00,5.0000000000000000,3,0,0.000011574074074074074074
