"user_id","aov","customer_rank"
"1da09dd64e235e7c2f29a4faff33535c",14716.67,1
"297ec5afd18366f5ba27520cc4954151",12478.33,2
cef29e793e232d30250331804cdb7000,11518.33,3
"397b44d5bb99eabf54ea9c2b41ebb905",10928.25,4
d132b863416f85f2abb1a988ca05dd12,9704.67,5
d387ea85dc301a91740e31360d355686,9141.67,6
"4e1cce07cd5937c69dacac3c8b13d965",8603.33,7
"9832ae2f7d3e5fa4c7a1a06e9551bc61",7971.67,8
fe81bb32c243a86b2f86fbf053fe6140,7596.60,9
"8961b4ca2c5aceb7a78ea72c6e0c840a",6351.67,10
b2e9a05d23ea17713b5d7799f2004f8e,6046.67,11
"6419a1be8feac26ec793667b71cbaeb4",6040.00,12
ab243cd9e788d689cc822380f59616e1,5908.33,13
e30b83af13d6ff0b0f427b2a67c43b39,5558.33,14
"3de0c9303f39b7ccfe69ca11aee19cc6",5526.67,15
